target_name_ullyses,target_name_hlsp,target_name_simbad,target_name_ullyses_apt,alias0,alias1,alias2,alias3,alias4,alias5,alias6,alias7,alias8,alias9,alias10,alias12,alias13,alias14,alias15,alias16,alias17,alias18,alias19,alias20
HV 5622,HV-5622,HV 5622,HV5622,MACHO 79.4779.34,HV5622,MACHO79-4779|MACHO79_4779,MACHO79-4779,MACHO79_4779,MACHO79-4779,MACHO79_4779,,,,,,,,,,,,,
SK -69 43,SK-69D43,SK -69 43,SK-69D43,SK -69 43,SK-69D43,HD268809|HD_268809|SK-6943,HD268809,HD_268809,SK-6943,HD268809,HD_268809,SK-6943,,,,,,,,,,,
SK -68 41,SK-68D41,SK -68 41,SK-68D41,SK -68 41,SK-68D41,SK-68 41|SK_-6841,SK-68 41,SK_-6841,SK-68 41,SK_-6841,,,,,,,,,,,,,
SK -68 23A,SK-68D23A,SK -68 23A,SK-68D23A,SK -68 23A,SK-68D23A,SK -68 23A|[M2002]_48819,SK -68 23A,[M2002]_48819,SK -68 23A,[M2002]_48819,,,,,,,,,,,,,
SK -71 35,SK-71D35,SK -71 35,SK-71D35,SK -71 35,SK-71D35,SK -71 35|SK_-7135,SK -71 35,SK_-7135,SK -71 35,SK_-7135,,,,,,,,,,,,,
SK -65 2,SK-65D2,SK -65 2,SK-65D2,SK -65 2,SK-65D2,SK-65 2|SK_-652,SK-65 2,SK_-652,SK-65 2,SK_-652,,,,,,,,,,,,,
SK -69 52,SK-69D52,SK -69 52,SK-69D52,SK -69 52,SK-69D52,SK-69 52|SK_-6952,SK-69 52,SK_-6952,SK-69 52,SK_-6952,,,,,,,,,,,,,
SK -70 50,SK-70D50,SK -70 50,SK-70D50,SK -70 50,SK-70D50,SK-70 50|SK-70 50,SK-70_50,SK-70 50,SK-70 50,SK-70 50,SK-70 50,,,,,,,,,,,,
SK -67 78,SK-67D78,SK -67 78,SK-67D78,SK -67 78,SK-67D78,SK-67 78|SK-67 78,SK-67_78,SK-67 78,SK-67 78,SK-67 78,SK-67 78,,,,,,,,,,,,
SK -70 16,SK-70D16,SK -70 16,SK-70D16,SK -70 16,SK-70D16,SK -70 16|[M2002]_22715,SK -70 16,[M2002]_22715,SK -70 16,[M2002]_22715,SK-70-16,,,,,,,,,,,,
SK -69 140,SK-69D140,SK -69 140,SK-69D140,SK -69 140,SK-69D140,SK -69 140|[M2002]_139017,SK -69 140,[M2002]_139017,SK -69 140,[M2002]_139017,,,,,,,,,,,,,
