target_name_std,target_name_simbad,simbad_link,target_classification,gaia_dr2_id,targ_ra,targ_dec,coordinate_epoch,host_galaxy_name,host_cluster_name,spectral_type,spectral_type_ref,sp_class,temp_class,lum_class,u_mag,u_mag_ref,b_mag,b_mag_ref,v_mag,v_mag_ref,bmv0_mag,bmv0_mag_ref,extinction_ebmv,extinction_ebmv_ref,star_teff,star_teff_ref,surface_gravity,surface_gravity_ref,star_luminosity,star_luminosity_ref,star_radius,star_radius_ref,star_mass,star_mass_ref,rotation_velocity,rotation_velocity_ref,terminal_velocity,terminal_velocity_ref,rate_massloss,rate_massloss_ref,known_binary,known_binary_ref
SK -67 197,SK -67 197,https://simbad.u-strasbg.fr/simbad/sim-id?Ident=SK+-67+197,Mid B Supergiant,Gaia DR2 4660114630887759360,83.49614973,-67.53770932,2015.5,LMC,None,B7 I,1978A&AS...31..243R,B,7,I,11.63,2002ApJS..141...81M,12.35,2002ApJS..141...81M,12.34,2002ApJS..141...81M,-0.04,1970A&A.....4..234F,0.05,Derived from (B-V)0,,None,,None,,None,,None,,None,,None,,None,,None,FALSE,None
SK -66 152,SK -66 152,https://simbad.u-strasbg.fr/simbad/sim-id?Ident=SK+-66+152,Mid O Supergiant,Gaia DR2 4660681188597490560,83.5780271,-66.14507082,2015.5,LMC,None,O7 Ib(f),1988ApJ...335..703F,O,7,I,11.33,1999MNRAS.306..279S,12.38,1999MNRAS.306..279S,12.58,1999MNRAS.306..279S,-0.27,2006A&A...457..637M,0.07,Derived from (B-V)0,,None,,None,,None,,None,,None,,None,,None,,None,FALSE,None
SK -69 191,BAT99 61,https://simbad.u-strasbg.fr/simbad/sim-id?Ident=BAT99+61,Early WC Star,Gaia DR2 4657273527236871552,83.58022785,-69.75285799,2015.5,LMC,LH 81,WC4,2000AJ....119.2214M,WC,4,none,12.98,2000AJ....119.2214M,12.92,2000AJ....119.2214M,13.01,2000AJ....119.2214M,,None,0.12,2004ApJS..154..651W,85000,2002A&A...392..653C,,None,5.68,2002A&A...392..653C,3.2,2002A&A...392..653C,,None,,None,3200,2002A&A...392..653C,4.00E-05,2002A&A...392..653C,FALSE,None
W61 28-5,W61 28-5,https://simbad.u-strasbg.fr/simbad/sim-id?Ident=W61+28-5,Early O Dwarf,Gaia DR2 4657275137819689216,83.61862616,-69.7324519,2015.5,LMC,LH 81,O4 V((f+)),2004ApJ...608.1001M,O,4,V,12.64,2000AJ....119.2214M,13.74,2000AJ....119.2214M,13.92,2000AJ....119.2214M,-0.28,2006A&A...457..637M,0.1,Derived from (B-V)0,44000,2012A&A...543A..95R,3.8,2012A&A...543A..95R,5.51,2012A&A...543A..95R,9.8,2012A&A...543A..95R,,None,120,2012A&A...543A..95R,2700,2012A&A...543A..95R,1.08E-06,2012A&A...543A..95R,FALSE,None
W61 28-23,W61 28-23,https://simbad.u-strasbg.fr/simbad/sim-id?Ident=W61+28-23,Early O Giant,Gaia DR2 4657272805682614528,83.70899857,-69.77570619,2015.5,LMC,LH 81,O3.5 V((f+)),2005ApJ...627..477M,O,3.5,V,12.52,2000AJ....119.2214M,13.65,2000AJ....119.2214M,13.81,2000AJ....119.2214M,-0.28,2006A&A...457..637M,0.12,Derived from (B-V)0,47000,2012A&A...543A..95R,3.8,2012A&A...543A..95R,5.65,2012A&A...543A..95R,10,2012A&A...543A..95R,,None,146,2012A&A...543A..95R,3050,2012A&A...543A..95R,1.57E-06,2012A&A...543A..95R,FALSE,None
SK -67 207,SK -67 207,https://simbad.u-strasbg.fr/simbad/sim-id?Ident=SK+-67+207,Late B Supergiant,Gaia DR2 4660141568887555968,83.7311183,-67.35191686,2015.5,LMC,None,B9 Ia,1988ApJ...335..703F,B,9,I,10.04,1972A&AS....6..249A,10.57,1972A&AS....6..249A,10.51,1972A&AS....6..249A,0,1970A&A.....4..234F,0.06,Derived from (B-V)0,,None,,None,,None,,None,,None,,None,,None,,None,FALSE,None
SK -67 211,SK -67 211,https://simbad.u-strasbg.fr/simbad/sim-id?Ident=SK+-67+211,Early O Giant,Gaia DR2 4660112221367295232,83.80792757,-67.55764782,2015.5,LMC,None,O2 III(f*),2002AJ....123.2754W,O,2,III,11.03,1999MNRAS.306..279S,12.1,1999MNRAS.306..279S,12.28,1999MNRAS.306..279S,-0.28,2006A&A...457..637M,0.1,Derived from (B-V)0,52500,2004ApJ...608.1028W,,None,6.34,2004ApJ...608.1028W,17.9,"Derived from L,Teff",,None,,None,3750,1995PASP..107..104W,2.50E-06,2004ApJ...608.1028W,FALSE,None
MCPS 083.91120-69.69685,MCPS 083.91120-69.69685,https://simbad.u-strasbg.fr/simbad/sim-id?Ident=MCPS+083.91120-69.69685,Early O Supergiant,Gaia DR2 4657277616048732544,83.91115126,-69.69691829,2015.5,LMC,None,O3 If*,2015A&A...584A...5E,O,3,I,12.34,2004AJ....128.1606Z,13.14,2004AJ....128.1606Z,13.28,2004AJ....128.1606Z,-0.28,2006A&A...457..637M,0.14,Derived from (B-V)0,,None,,None,,None,,None,,None,,None,,None,,None,FALSE,None
SK -67 216,SK -67 216,https://simbad.u-strasbg.fr/simbad/sim-id?Ident=SK+-67+216,Early B Dwarf,Gaia DR2 4660244064023079680,83.93171635,-66.99735686,2015.5,LMC,None,B0.5 V0,1995ApJ...438..188M,B,0.5,V,11.7,1979A&AS...38..239I,12.68,1979A&AS...38..239I,12.84,1979A&AS...38..239I,-0.28,1970A&A.....4..234F,0.12,Derived from (B-V)0,,None,,None,,None,,None,,None,,None,,None,,None,FALSE,None
SK -69 212,SK -69 212,https://simbad.u-strasbg.fr/simbad/sim-id?Ident=SK+-69+212,Mid O Giant,Gaia DR2 4657669965532416512,84.02658685,-69.19653665,2015.5,LMC,LH 90,O5n(f)p,2010AJ....139.1283W,O,5,none,11.31,2000AJ....119.2214M,12.26,2000AJ....119.2214M,12.31,2000AJ....119.2214M,-0.28,2006A&A...457..637M,0.23,Derived from (B-V)0,,None,,None,,None,,None,,None,,None,,None,,None,TRUE,2013AcA....63..159U
