targets,RA,DEC,AR_targets,SpT,E(B-V),U,archival exptime,flux1150,flux1200,flux1520,Settings,ETC_FUV_file,ETC_NUV_file
Sk -68 57|[M2002] 80420,5h09m40.56s,-68d53m25.1s,SK-68D57|05094044-6853248|05094044-6853248|05094044-6853248|05094044-6853248|BR 16|HD 34187|HD 34187,WN4b+0B?,nan,12.77,31096| 5707| 9960| 7986| 6107| 2100| 1201| 2459,4.33E-13,1.96E-13,2.30E-13,FUSE/1045|LWP/LWP/2599|SWP/SWP/1565,downloaded/LMC/IUE/[M2002]_80420.0/swp38232/swp38232.mxlo.gz|downloaded/LMC/IUE/[M2002]_80420.0/swp38232/swp38232mxlo_vo.fits,downloaded/LMC/IUE/[M2002]_80420.0/lwp27142/lwp27142.mxlo.gz|downloaded/LMC/IUE/[M2002]_80420.0/lwp27142/lwp27142mxlo_vo.fits
BI 90|[M2002] 81518,5h09m57.6s,-69d14m36.7s,,O9.5 IV,0.11,13.04,,nan,nan,nan,,Model,Model
Sk -70 82|[M2002] 82260,5h10m09.19s,-70d05m40.4s,,B3: I,0.04,12.37,,nan,nan,nan,,Model,Model
BI 94|[M2002] 83345,5h10m24.48s,-69d06m51.5s,,O7 V((f)),0.2,12.38,,nan,nan,nan,,Model,Model
Sk -69 70|[M2002] 84997,5h10m48.47s,-69d20m31.5s,,B7 I,0.06,12.2,,nan,nan,nan,,Model,Model
Sk -69 71|[M2002] 89310,5h12m01.48s,-69d15m17.7s,,B5 I,0.02,12.2,,nan,nan,nan,,Model,Model
Sk -69 72|[M2002] 90902,5h12m33.98s,-69d17m10.9s,SK-69 72|SK-69 72,B5 I,0.32,11.59,2879|22796,nan,1.75E-13,2.77E-13,LWP/LWP/2599|SWP/SWP/1565,downloaded/LMC/IUE/[M2002]_90902.0/swp36540/swp36540.mxlo.gz|downloaded/LMC/IUE/[M2002]_90902.0/swp36540/swp36540mxlo_vo.fits,downloaded/LMC/IUE/[M2002]_90902.0/lwp15672/lwp15672.mxlo.gz|downloaded/LMC/IUE/[M2002]_90902.0/lwp15672/lwp15672mxlo_vo.fits
BI 105|[M2002] 91996,5h12m57.1s,-69d22m55.8s,,B0.5 V,0.12,12.81,,nan,nan,nan,,Model,Model
BI 101|[M2002] 92141,5h13m00.26s,-69d23m36.8s,,O9 II,0.12,12.2,,nan,nan,nan,,Model,Model
BI 103|[M2002] 92547,5h13m08.52s,-69d18m04.2s,,B2 Ia,0.18,13.26,,nan,nan,nan,,Model,Model
Sk -69 81|[M2002] 95796,5h14m12.82s,-69d19m26.0s,BR19|HD 34783,WN4b,nan,13.56,2761|19198,nan,1.98E-13,1.14E-13,LWP/LWP/2599|SWP/SWP/1565,downloaded/LMC/IUE/[M2002]_95796.0/swp07003/swp07003.mxlo.gz|downloaded/LMC/IUE/[M2002]_95796.0/swp07003/swp07003mxlo_vo.fits,downloaded/LMC/IUE/[M2002]_95796.0/lwp13165/lwp13165.mxlo.gz|downloaded/LMC/IUE/[M2002]_95796.0/lwp13165/lwp13165mxlo_vo.fits
BI 111|[M2002] 96012,5h14m17.12s,-69d18m16.4s,,O9 II,0.19,12.1,,nan,nan,nan,,Model,Model
