Dataset,Target Name,RA (J2000),Dec (J2000),Ref,Start Time,Stop Time,Exp Time,Instrument,Apertures,Filters/Gratings,Central Wavelength,Proposal ID,Release Date,Preview Name
LEC115030,HD-269888,84.43600841,-69.24046283,0,2021-12-04T00:48:06.390000,2021-12-04T01:38:31.397000,2680.768,COS   ,PSA,G160M,1623,16272,2022-06-04T06:24:08,LEC115030
LEC116010,HD-269891,84.45433748,-69.08561273,0,2021-01-20T16:47:34.807000,2021-01-20T17:02:52.830000,516.064,COS   ,PSA,G130M,1222,16272,2021-07-20T22:15:24,LEC116010
LEC116020,HD-269891,84.45433748,-69.08561273,0,2021-01-20T17:06:34.807000,2021-01-20T17:13:35.790000,278.08,COS   ,PSA,G130M,1291,16272,2021-07-20T22:47:55,LEC116020
LEC116030,HD-269891,84.45433748,-69.08561273,0,2021-01-20T17:17:57.813000,2021-01-20T17:33:15.807000,516.064,COS   ,PSA,G160M,1623,16272,2021-07-20T21:57:16,LEC116030
LF3A01010,2MASS-J05380840-6909190,84.53503861,-69.15527089,0,2023-06-17T03:35:01.340000,2023-06-17T03:46:12.327000,356,COS   ,PSA,G130M,1222,17279,2023-09-17T13:15:51,LF3A01010
LF3A01020,2MASS-J05380840-6909190,84.53503861,-69.15527089,0,2023-06-17T03:49:32.350000,2023-06-17T03:57:55.350000,398.016,COS   ,PSA,G130M,1291,17279,2023-09-17T13:12:26,LF3A01020
LF3A01030,2MASS-J05380840-6909190,84.53503861,-69.15527089,0,2023-06-17T04:03:38.333000,2023-06-17T04:20:52.327000,356,COS   ,PSA,G160M,1623,17279,2023-09-17T13:18:48,LF3A01030
LF3A52010,2MASS-J05380840-6909190,84.53503897,-69.15527085,0,2023-09-21T03:33:36.223000,2023-09-21T03:56:08.257000,759.968,COS   ,PSA,G130M,1222,17279,2023-12-21T11:17:24,
LF3A52020,2MASS-J05380840-6909190,84.53503897,-69.15527085,0,2023-09-21T04:02:14.240000,2023-09-21T04:19:32.237000,359.904,COS   ,PSA,G160M,1623,17279,2023-12-21T11:17:43,
LCUT02010,VFTS-285,84.57224493,-69.09503993,2,2016-04-10T01:30:07.877000,2016-04-10T03:02:17.883000,780.064,COS   ,PSA,G130M,1300,14246,2017-04-10T04:26:13,LCUT02010
