Target,Target_LINK,RA(J2000),DEC(J2000),Sk,HD,M2002,VFTS,Alias,SpT,E(B-V),B,V,v sin i,COS,STIS,ORB,FUSE,COS G130M 1096,G130M 1291,COS G160M 1611,COS G185M 1953,COS G185M 1986,STIS E140M 1425,STIS E230M 1978,STIS E230M 2707,Modes To Be Observed,Archival UV Modes,Other AR Modes,VLT,ULL
N11 020,"<a href=""https://simbad.u-strasbg.fr/simbad/sim-id?Ident=[ELS2006]+N11+020&submit=submit+id""> N11 020</a>",04h56m50.3051s,-66d31m03.9139s,,,,,[ELS2006]_N11_20,O5 I(n)f+,0.06,12.96,13.18,260,2,0,2,,p,,,,,a,,,COS/G130M/1096,STIS/E140M/1425,VLT/GIRAFFE,g,1
[ST92] 4-18,"<a href=""https://simbad.u-strasbg.fr/simbad/sim-id?Ident=W61+4-4&submit=submit+id""> [ST92] 4-18</a>",05h39m50.693s,-69d24m27.4701s,,,173953,,W61_4-4,O5 If,0.26,13.64,13.66,,2,0,2,,,p,p,,,,,,COS/G130M/1291-COS/G160M/1611,,,,1
LMCe078-1,"<a href=""https://simbad.u-strasbg.fr/simbad/sim-id?Ident=[MNM2015]+LMCe078-1&submit=submit+id""> LMCe078-1</a>",05h37m29.6245s,-69d14m51.9312s,,,,,[AAOmega]_271,O5.5 Iaf,0.24,13.46,13.49,,1,0,1,,,p,p,,,,,,COS/G130M/1291-COS/G160M/1611,,,,1
N11 038,"<a href=""https://simbad.u-strasbg.fr/simbad/sim-id?Ident=[ELS2006]+N11+038&submit=submit+id""> N11 038</a>",04h56m45.208s,-66d25m10.7796s,,,,,[ELS2006]_N11_38|PGMW 3100,O5 III(f+),0.28,13.81,13.81,145,2,0,2,,,p,p,,,,,,COS/G130M/1291-COS/G160M/1611,,VLT/GIRAFFE,g,1
SK -69 212,"<a href=""https://simbad.u-strasbg.fr/simbad/sim-id?Ident=SK+-69+212&submit=submit+id""> SK -69 212</a>",05h36m06.3808s,-69d11m47.5319s,-69 212,,,,,O5 III(f),0.23,12.26,12.31,210,2,0,2,,p,,,,,a,,,COS/G130M/1096,STIS/E140M/1425,,,1
VFTS 244,"<a href=""https://simbad.u-strasbg.fr/simbad/sim-id?Ident=VFTS+244&submit=submit+id""> VFTS 244</a>",05h38m08.4138s,-69d05m44.4794s,,,,244,VFTS_244,O5 III(n)(fc),0.18,13.94,14.04,272,1,0,1,,,p,p,,,N,,,COS/G130M/1291-COS/G160M/1611,STIS/E140M/1425,VLT/GIRAFFE,g,1
BI 265,"<a href=""https://simbad.u-strasbg.fr/simbad/sim-id?Ident=BI+265&submit=submit+id""> BI 265</a>",05h40m04.63s,-69d39m50.6716s,,,,,BI265|[AAOmega]_361,O5 III(fc),0.25,12.35,12.38,,2,0,2,,p,,,,,a,,,COS/G130M/1096,STIS/E140M/1425,,,1
SK -70 69,"<a href=""https://simbad.u-strasbg.fr/simbad/sim-id?Ident=SK+-70+69&submit=submit+id""> SK -70 69</a>",05h05m18.6796s,-70d25m49.8794s,-70 69,,65981,,[M2002]_65981,O5V,0.05,13.72,13.95,98|131,0,3,3,F,,,,,,p,,,STIS/E140M,FUSE,VLT/UVES,u,1
[ST92] 5-52,"<a href=""https://simbad.u-strasbg.fr/simbad/sim-id?Ident=[ST92]+5-52&submit=submit+id""> [ST92] 5-52</a>",05h39m05.2894s,-69d29m22.9776s,,,,,[ST92]_5-52|W61_3-14,ON5.5 V((f)),0.13,13.26,13.41,,3,0,3,,p,p,p,,,,,,COS/G130M/1096-COS/G130M/1291-COS/G160M/1611,,,,1
LH 58-496,"<a href=""https://simbad.u-strasbg.fr/simbad/sim-id?Ident=[L72]+LH+58-496&submit=submit+id""> LH 58-496</a>",05h26m44s,-68d48m42s,,,,,[L72]_LH_58-496,O5 V((f)),0.05,13.5,13.73,,1,3,4,,p,,,,,p,,,COS/G130M/1096-STIS/E140M,,,,1
