target_name_ullyses,target_name_simbad,target_classification,simbad_link,targ_ra,targ_dec,coordinate_epoch,source_catalog,host_galaxy_name,host_cluster_name,d_gaia,d_gaia_err,spectral_type,spectral_type_ref,temp_class,lum_class,star_teff,star_teff_ref,star_luminosity,star_luminosity_ref,star_mass,star_mass_ref,surface_gravity,surface_gravity_ref,rotation_period,rotation_period_ref,rotation_velocity,rotation_velocity_ref,terminal_velocity,terminal_velocity_ref,radius,radius_ref,rate_accretion,rate_accretion_ref,extinction_ebmv,extinction_ebmv_ref,age,age_ref,metallicity,metallicity_ref,fuv_mag,nuv_mag,u_mag,u_mag_ref,b_mag,b_mag_ref,v_mag,v_mag_ref,i_mag,i_mag_ref,gaia_id,gaia_parallax,gaia_parallax_err,known_binary,known_binary_ref,is_variable,is_monitor_targ,extended,Extra,radial_velocity,radial_velocity_ref
AK Sco,V* AK Sco,T Tauri star,http://simbad.cds.unistra.fr/simbad/sim-id?Ident=AK+Sco,253.6868274,-36.88861922,2016,2021A&A...652A.133V,MW,Upper Scorpius,,,F6+F6,2021A&A...652A.133V,,,6250,2021A&A...652A.133V,0.84,2021A&A...652A.133V,1.52,2021A&A...652A.133V,,,,,,,,,,,,,0.09,2021A&A...652A.133V,8.57,2021A&A...652A.133V,,,,,9.8,none,9.63,none,9,none,,,GAIA DR3 5971474902099064576,7.154344205,0.031216793,TRUE,2021A&A...652A.133V,TRUE,FALSE,FALSE,TRUE,-1.3,2012A&A...546A..61D
HD 135344B,HD 135344B,T Tauri star,http://simbad.cds.unistra.fr/simbad/sim-id?Ident=HD+135344B,228.9517512,-37.15455463,2016,2021A&A...652A.133V,MW,other,,,F8,2021A&A...652A.133V,,,6640,2021A&A...652A.133V,0.91,2021A&A...652A.133V,1.5,2021A&A...652A.133V,,,,,,,,,,,,,0.07,2021A&A...652A.133V,9.07,2021A&A...652A.133V,,,,,,,9.21,none,8.71,none,,,GAIA DR3 6199395656645838976,7.407397809,0.023951042,TRUE,2021A&A...652A.133V,TRUE,FALSE,FALSE,TRUE,-5.3,2023ApJS..265...12Q
CO Ori,V* CO Ori,T Tauri star,http://simbad.cds.unistra.fr/simbad/sim-id?Ident=CO+Ori,81.90973907,11.42746838,2016,2021A&A...652A.133V,MW,Lambda Orionis,,,G0,2004AJ....128.1294C,,,6030,2021A&A...652A.133V,1.64,2021A&A...652A.133V,2.97,2021A&A...652A.133V,,,,,,,,,4.3,2004AJ....128.1294C,-7.05,2004AJ....128.1294C,0.22,2021A&A...652A.133V,1.48,2021A&A...652A.133V,,,,,12.96,none,12.33,none,10.3,none,9.63,none,GAIA DR3 3339339963154835072,2.504856955,0.020514334,FALSE,none,TRUE,FALSE,FALSE,TRUE,23,2012A&A...546A..61D
V827 Tau,V* V827 Tau,T Tauri star,http://simbad.cds.unistra.fr/simbad/sim-id?Ident=V827+Tau,68.06076675,18.33736212,2016,2022A&A...667A.124G,MW,Taurus,,,K5,2022A&A...667A.124G,,,3648,2022A&A...667A.124G,-0.056,2022A&A...667A.124G,0.43,2022A&A...667A.124G,,,,,,,,,2.35,2022A&A...667A.124G,,,0.16,2022A&A...667A.124G,,,,,,,,,14,none,12.63,none,,,GAIA DR3 3314338163954491136,6.084325945,0.35792792,FALSE,none,TRUE,FALSE,FALSE,TRUE,17.8,2012ApJ...745..119N
V1070 Tau,V* V1070 Tau,T Tauri star,http://simbad.cds.unistra.fr/simbad/sim-id?Ident=V1070+Tau,64.92200337,27.82993104,2016,2022A&A...667A.124G,MW,Taurus,,,K5,2022A&A...667A.124G,,,3897,2022A&A...667A.124G,-0.15,2022A&A...667A.124G,0.6,2022A&A...667A.124G,,,,,,,,,1.85,2022A&A...667A.124G,,,0.19,2022A&A...667A.124G,,,,,,,,,13.75,none,12.25,none,,,GAIA DR3 164422961683000320,7.986951487,0.0432053,FALSE,none,TRUE,FALSE,FALSE,TRUE,17.7,2020AJ....160..120J
V1098 Tau,V* V1098 Tau,T Tauri star,http://simbad.cds.unistra.fr/simbad/sim-id?Ident=V1098+Tau,63.69990902,27.87615949,2016,2022A&A...667A.124G,MW,Taurus,,,M0,2022A&A...667A.124G,,,3837,2022A&A...667A.124G,0.045,2022A&A...667A.124G,0.55,2022A&A...667A.124G,,,,,,,,,2.38,2022A&A...667A.124G,,,0.23,2022A&A...667A.124G,,,,,,,,,14.08,none,11.73,none,,,GAIA DR3 163157325014927360,,,FALSE,none,TRUE,FALSE,FALSE,TRUE,14.9,2020AJ....160..120J
V826 Tau,V* V826 Tau,T Tauri star,http://simbad.cds.unistra.fr/simbad/sim-id?Ident=V826+Tau,68.06605336,18.02734529,2016,2006ApJ...646..319E,MW,Taurus,,,K7,2006ApJ...646..319E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.51,none,12.07,none,10.31,none,GAIA DR3 3314258999116827776,6.960738913,0.020109935,TRUE,2006ApJ...646..319E,TRUE,FALSE,FALSE,TRUE,18,2018ApJ...856...23G
V830 Tau,V* V830 Tau,T Tauri star,http://simbad.cds.unistra.fr/simbad/sim-id?Ident=V830+Tau,68.29182694,24.5619212,2016,2015MNRAS.453.3706D,MW,Taurus,,,M0-1,2009A&ARv..17..251S,,,4250,2015MNRAS.453.3706D,0.08,2015MNRAS.453.3706D,1,2015MNRAS.453.3706D,3.9,2015MNRAS.453.3706D,,,,,,,2,2015MNRAS.453.3706D,,,,,2.2,2015MNRAS.453.3706D,,,,,,,13.91,none,12.08,none,,,GAIA DR3 147831571737487488,7.670374875,0.016476244,FALSE,none,TRUE,FALSE,FALSE,TRUE,17.6,2020AJ....160..120J
V1146 Sco,V* V1146 Sco,T Tauri star,http://simbad.cds.unistra.fr/simbad/sim-id?Ident=V1146+Sco,239.3331942,-23.6473539,2016,2012ApJ...744..121Y,MW,Upper Scorpius,,,M0,2012ApJ...744..121Y,,,,,-0.41,2012ApJ...744..121Y,,,,,,,,,,,,,,,0,2012ApJ...744..121Y,,,,,,,,,,,,,,,GAIA DR3 6237039975541812992,9.01896858,0.27174315,FALSE,none,TRUE,FALSE,FALSE,TRUE,0.6,2020AJ....160..120J
FM Tau,V* FM Tau,T Tauri star,http://simbad.cds.unistra.fr/simbad/sim-id?Ident=FM+Tau,63.55664309,28.21354898,2016,2013ApJ...767..112I,MW,Taurus,,,M0,2013ApJ...767..112I,,,,,-1,2013ApJ...767..112I,0.6,2013ApJ...767..112I,,,,,,,,,0.7,2013ApJ...767..112I,-8.92,2013ApJ...767..112I,0.23,2013ApJ...767..112I,,,,,,,14.44,none,,,13.8,none,,,GAIA DR3 163184366130809472,7.575347285,0.024392659,FALSE,none,TRUE,FALSE,FALSE,TRUE,13.8,2018ApJ...856...23G
