target_name_ullyses,target_name_simbad,simbad_link,target_classification,gaia_id,targ_ra,targ_dec,coordinate_epoch,host_galaxy_name,host_cluster_name,spectral_type,spectral_type_ref,sp_class,temp_class,lum_class,u_mag,u_mag_ref,b_mag,b_mag_ref,v_mag,v_mag_ref,bmv0_mag,bmv0_mag_ref,extinction_ebmv,extinction_ebmv_ref,star_teff,star_teff_ref,surface_gravity,surface_gravity_ref,star_luminosity,star_luminosity_ref,star_radius,star_radius_ref,star_mass,star_mass_ref,rotation_velocity,rotation_velocity_ref,terminal_velocity,terminal_velocity_ref,rate_massloss,rate_massloss_ref,known_binary,known_binary_ref,Extra,F225W_STmag,F275W_STmag,F336W_STmag,F475W_STmag,F814W_STmag,AR
NGC346 ELS 26,CL* NGC 346 ELS 26,https://simbad.u-strasbg.fr/simbad/sim-id?Ident=CL*+NGC+346+ELS+26,Early B Subgiant,Gaia DR3 4689016221756858624,14.55870136,-72.17897547,2016,SMC,NGC 346,O9.5-B0 V (N str),2000PASP..112.1243W,O,9.5,V,13.77,2002ApJS..141...81M,14.68,2002ApJS..141...81M,14.76,2002ApJS..141...81M,-0.26,2006A&A...457..637M,0.18,Derived from (B-V)0,31000,2013A&A...555A...1B,3.65,2013A&A...555A...1B,4.93,2013A&A...555A...1B,10.1,"Derived from L,Teff",21,2013A&A...555A...1B,60,2013A&A...555A...1B,1250,2013A&A...555A...1B,5.00E-10,2013A&A...555A...1B,FALSE,None,FALSE,,,,,,TRUE
NGC346 ELS 28,Cl* NGC 346 ELS 028,https://simbad.u-strasbg.fr/simbad/sim-id?Ident=Cl*+NGC+346+ELS+028,Mid O Dwarf,Gaia DR3 4689016393555549440,14.63231855,-72.18277373,2016,SMC,NGC 346,OC6 Vz,2000PASP..112.1243W,O,6,V,13.56,2002ApJS..141...81M,14.62,2002ApJS..141...81M,14.78,2002ApJS..141...81M,-0.28,2006A&A...457..637M,0.12,Derived from (B-V)0,39600,2013A&A...555A...1B,4,2013A&A...555A...1B,5.15,2013A&A...555A...1B,8,"Derived from L,Teff",27.8,2013A&A...555A...1B,35,2013A&A...555A...1B,1250,2013A&A...555A...1B,3.00E-09,2013A&A...555A...1B,FALSE,None,FALSE,,,,,,FALSE
AV 207,AzV 207,https://simbad.u-strasbg.fr/simbad/sim-id?Ident=AzV+207,Mid O Giant,Gaia DR3 4690570828081803904,14.63829963,-71.92964949,2016,SMC,None,O7 III((f)),2016ApJ...817..113L,O,7,III,12.99,2002ApJS..141...81M,14.05,2002ApJS..141...81M,14.25,2002ApJS..141...81M,-0.27,2006A&A...457..637M,0.07,Derived from (B-V)0,37000,2004ApJ...608.1001M,3.7,2004ApJ...608.1001M,5.34,2004ApJ...608.1001M,11,2004ApJ...608.1001M,22,2004ApJ...608.1001M,75,2009ApJ...700..844P,,None,,None,FALSE,None,FALSE,,,,,,FALSE
AV 210,AzV 210,https://simbad.u-strasbg.fr/simbad/sim-id?Ident=AzV+210,Early B Supergiant,Gaia DR3 4689003027613801216,14.64911216,-72.27362182,2016,SMC,None,B1.5 Ia,1997A&A...317..871L,B,1.5,I,11.73,2002ApJS..141...81M,12.58,2002ApJS..141...81M,12.6,2002ApJS..141...81M,-0.18,1970A&A.....4..234F,0.16,Derived from (B-V)0,20500,2004A&A...417..217T,2.4,2004A&A...417..217T,5.41,2004A&A...417..217T,40,2004A&A...417..217T,27,2004A&A...417..217T,65,2004A&A...417..217T,750,2004ApJ...607..451E,2.00E-07,2004A&A...417..217T,FALSE,None,FALSE,,,,,,TRUE
NGC346 ELS 50,Cl* NGC 346 ELS 050,https://simbad.u-strasbg.fr/simbad/sim-id?Ident=Cl*+NGC+346+ELS+050,Late O Dwarf,Gaia DR3 4689016530994364672,14.73009626,-72.1518655,2016,SMC,NGC 346,O8 Vn,2006A&A...456..623E,O,8,V,13.93,2002ApJS..141...81M,15.09,2002ApJS..141...81M,15.25,2002ApJS..141...81M,-0.27,2006A&A...457..637M,0.11,Derived from (B-V)0,36300,2013A&A...555A...1B,4.25,2013A&A...555A...1B,4.64,2013A&A...555A...1B,5.3,"Derived from L,Teff",19.5,2013A&A...555A...1B,360,2013A&A...555A...1B,1540,2013A&A...555A...1B,3.00E-09,2013A&A...555A...1B,FALSE,None,FALSE,,,,,,FALSE
AV 215,AzV 215,https://simbad.u-strasbg.fr/simbad/sim-id?Ident=AzV+215,Early B Supergiant,Gaia DR3 4685993320712086784,14.73178429,-72.53569143,2016,SMC,None,BN0 Ia,1997A&A...317..871L,B,0,I,11.64,2002ApJS..141...81M,12.6,2002ApJS..141...81M,12.69,2002ApJS..141...81M,-0.24,1970A&A.....4..234F,0.15,Derived from (B-V)0,27000,2004A&A...417..217T,2.9,2004A&A...417..217T,5.63,2004A&A...417..217T,30,2004A&A...417..217T,39,2004A&A...417..217T,91,2004A&A...417..217T,1400,2004ApJ...607..451E,1.35E-06,2004A&A...417..217T,FALSE,None,FALSE,,,,,,TRUE
NGC346 ELS 7,CL* NGC 346 ELS 7,https://simbad.u-strasbg.fr/simbad/sim-id?Ident=CL*+NGC+346+ELS+7,Early O Dwarf,Gaia DR3 4689015706360740096,14.73916021,-72.1760224,2016,SMC,NGC 346,O4 V((f)),1995PASP..107..104W,O,4,V,12.73,1989AJ.....98.1305M,13.78,1989AJ.....98.1305M,14.02,1989AJ.....98.1305M,-0.28,2006A&A...457..637M,0.04,Derived from (B-V)0,42100,2013A&A...555A...1B,4,2013A&A...555A...1B,5.51,2013A&A...555A...1B,10.7,"Derived from L,Teff",40,2013A&A...555A...1B,70,2013A&A...555A...1B,2300,2013A&A...555A...1B,1.40E-07,2013A&A...555A...1B,FALSE,None,FALSE,,,,,,TRUE
AV 216,AzV 216,https://simbad.u-strasbg.fr/simbad/sim-id?Ident=AzV+216,Early B Bright Giant,Gaia DR3 4685974384131355648,14.74641616,-72.74281937,2016,SMC,None,B0 IIw,1987AJ.....93.1070G,B,0,II,13.09,2002ApJS..141...81M,14.09,2002ApJS..141...81M,14.22,2002ApJS..141...81M,-0.29,1970A&A.....4..234F,0.16,Derived from (B-V)0,26000,2004A&A...417..217T,3.6,2004A&A...417..217T,5,2004A&A...417..217T,16,2004A&A...417..217T,20,2004A&A...417..217T,77,2004A&A...417..217T,2410,2004A&A...417..217T,1.20E-07,2004A&A...417..217T,TRUE,2016AcA....66..421P,TRUE,,,,,,TRUE
NGC346 MPG 342,Cl* NGC346 MPG 342,https://simbad.u-strasbg.fr/simbad/sim-id?Ident=Cl*+NGC346+MPG+342,Mid O Dwarf,Gaia DR3 4689015706360739456,14.75022541,-72.17721578,2016,SMC,NGC 346,O5-6 V,1995ApJ...454L..27W,O,5,V,12.38,1989AJ.....98.1305M,13.43,1989AJ.....98.1305M,13.66,1989AJ.....98.1305M,-0.28,2006A&A...457..637M,0.05,Derived from (B-V)0,,None,,None,,None,,None,,None,,None,,None,,None,TRUE,2013AcA....63..323P,TRUE,,,,,,TRUE
NGC346 MPG 355,Cl* NGC 346 MPG 355,https://simbad.u-strasbg.fr/simbad/sim-id?Ident=Cl*+NGC+346+MPG+355,Early O Giant,Gaia DR3 4689015702019200896,14.75317159,-72.17449761,2016,SMC,NGC 346,ON2 III(f*),2004ApJ...608.1028W,O,2,III,12.15,1989AJ.....98.1305M,13.27,1989AJ.....98.1305M,13.5,1989AJ.....98.1305M,-0.28,2006A&A...457..637M,0.05,Derived from (B-V)0,51700,2013A&A...555A...1B,4,2013A&A...555A...1B,6.04,2013A&A...555A...1B,13.1,"Derived from L,Teff",70,2013A&A...555A...1B,120,2013A&A...555A...1B,2800,2013A&A...555A...1B,1.80E-07,2013A&A...555A...1B,FALSE,None,FALSE,,,,,,FALSE
NGC346 MPG 368,Cl* NGC 346 MPG 368,https://simbad.u-strasbg.fr/simbad/sim-id?Ident=Cl*+NGC+346+MPG+368,Mid O Dwarf,Gaia DR3 4689015706360700288,14.7575868,-72.17534348,2016,SMC,NGC 346,O6 V,2009ApJ...692..618M,O,6,V,12.87,1989AJ.....98.1305M,13.95,1989AJ.....98.1305M,14.18,1989AJ.....98.1305M,-0.28,2006A&A...457..637M,0.05,Derived from (B-V)0,39300,2013A&A...555A...1B,3.75,2013A&A...555A...1B,5.38,2013A&A...555A...1B,10.6,"Derived from L,Teff",33.2,2013A&A...555A...1B,60,2013A&A...555A...1B,2100,2013A&A...555A...1B,3.70E-08,2013A&A...555A...1B,FALSE,None,FALSE,,,,,,FALSE
NGC346 MPG 396,Cl* NGC346 MPG 396,https://simbad.u-strasbg.fr/simbad/sim-id?Ident=Cl*+NGC346+MPG+396,Mid O Dwarf,Gaia DR3 4689015706360713088,14.76218446,-72.17637443,2016,SMC,NGC 346,O7 V,1989AJ.....98.1305M,O,7,V,13.09,1989AJ.....98.1305M,14.17,1989AJ.....98.1305M,14.39,1989AJ.....98.1305M,-0.27,2006A&A...457..637M,0.05,Derived from (B-V)0,37000,2022A&A...666A.189R,4,2022A&A...666A.189R,5.3,2022A&A...666A.189R,,None,,None,119,2019A&A...626A..50D,1000,2022A&A...666A.189R,2.00E-09,2022A&A...666A.189R,FALSE,None,TRUE,,,,,,TRUE
NGC346 MPG 435,Cl* NGC 346 W 1,https://simbad.u-strasbg.fr/simbad/sim-id?Ident=Cl*+NGC+346+W+1,Early O Giant,Gaia DR3 4689015740666629120,14.76874527,-72.17354641,2016,SMC,NGC 346,O4 If + O5-6,2019A&A...626A..50D,O,4,I,11.2,1991A&A...243..401H,12.21,1991A&A...243..401H,12.43,1991A&A...243..401H,-0.28,2006A&A...457..637M,0.06,Derived from (B-V)0,,None,,None,,None,,None,,None,93,2009ApJ...700..844P,,None,,None,TRUE,2002IAUS..207..202N,FALSE,,,,,,FALSE
NGC346 MPG 487,Cl* NGC346 MPG 487,https://simbad.u-strasbg.fr/simbad/sim-id?Ident=Cl*+NGC346+MPG+487,Late O Dwarf,Gaia DR3 4689015672000982912,14.77813644,-72.17813532,2016,SMC,NGC 346,O8 V,2009ApJ...692..618M,O,8,V,13.3,1989AJ.....98.1305M,14.31,1989AJ.....98.1305M,14.53,1989AJ.....98.1305M,-0.27,2006A&A...457..637M,0.05,Derived from (B-V)0,35800,2013A&A...555A...1B,4,2013A&A...555A...1B,5.12,2013A&A...555A...1B,9.5,"Derived from L,Teff",25.7,2013A&A...555A...1B,20,2013A&A...555A...1B,1540,2013A&A...555A...1B,3.00E-09,2013A&A...555A...1B,FALSE,None,TRUE,,,,,,TRUE
NGC346 ELS 51,Cl* NGC 346 ELS 051,https://simbad.u-strasbg.fr/simbad/sim-id?Ident=Cl*+NGC+346+ELS+051,Mid O Dwarf,Gaia DR3 4689015736378949504,14.78624586,-72.170599,2016,SMC,NGC 346,O7 Vz,2006A&A...456..623E,O,7,V,14.2,1989AJ.....98.1305M,15.25,2006A&A...456..623E,15.51,2006A&A...456..623E,-0.27,2006A&A...457..637M,0.01,Derived from (B-V)0,38700,2013A&A...555A...1B,4.25,2013A&A...555A...1B,4.8,2013A&A...555A...1B,5.6,"Derived from L,Teff",23.1,2013A&A...555A...1B,50,2013A&A...555A...1B,1950,2013A&A...555A...1B,6.00E-10,2013A&A...555A...1B,FALSE,None,FALSE,,,,,,FALSE
AV 220,AzV 220,https://simbad.u-strasbg.fr/simbad/sim-id?Ident=AzV+220,Mid O Giant,Gaia DR3 4690521006458654464,14.79154773,-72.09674989,2016,SMC,NGC 346,O6.5f?p,2000PASP..112.1243W,O,6.5,none,13.12,2002ApJS..141...81M,14.17,2002ApJS..141...81M,14.35,2002ApJS..141...81M,-0.27,2006A&A...457..637M,0.09,Derived from (B-V)0,37500,2006ApJ...638..409H,3.75,2006ApJ...638..409H,5.2,2006ApJ...638..409H,9,2006ApJ...638..409H,30,2006ApJ...638..409H,46,2019A&A...626A..50D,,None,,None,FALSE,None,TRUE,,,,,,TRUE
NGC346 MPG 602,Cl* NGC346 MPG 602,https://simbad.u-strasbg.fr/simbad/sim-id?Ident=Cl*+NGC346+MPG+602,Mid O Dwarf,Gaia DR3 4689015465788811008,14.80134538,-72.18553625,2016,SMC,NGC 346,O7 V,1989AJ.....98.1305M,O,7,V,13.53,1989AJ.....98.1305M,14.49,1989AJ.....98.1305M,14.68,1989AJ.....98.1305M,-0.27,2006A&A...457..637M,0.08,Derived from (B-V)0,,None,,None,,None,,None,,None,46,2019A&A...626A..50D,,None,,None,FALSE,None,TRUE,,,,,,TRUE
AV 224,AzV 224,https://simbad.u-strasbg.fr/simbad/sim-id?Ident=AzV+224,Early B Giant,Gaia DR3 4690521109537837440,14.81684046,-72.07903655,2016,SMC,NGC 346,B1 III,1987AJ.....93.1070G,B,1,III,13.02,2002ApJS..141...81M,13.97,2002ApJS..141...81M,14.12,2002ApJS..141...81M,-0.26,1970A&A.....4..234F,0.11,Derived from (B-V)0,,None,,None,,None,,None,,None,299,2008A&A...479..541H,,None,,None,FALSE,None,FALSE,,,,,,FALSE
NGC346 ELS 22,Cl* NGC 346 ELS 22,https://simbad.u-strasbg.fr/simbad/sim-id?Ident=Cl*+NGC+346+ELS+22,Late O Dwarf,Gaia DR3 4689015465842590464,14.82758487,-72.18608543,2016,SMC,NGC 346,O9 V,2006A&A...456..623E,O,9,V,13.61,1989AJ.....98.1305M,14.63,1989AJ.....98.1305M,14.87,1989AJ.....98.1305M,-0.27,2006A&A...457..637M,0.03,Derived from (B-V)0,34800,2013A&A...555A...1B,4.1,2013A&A...555A...1B,4.89,2013A&A...555A...1B,7.7,"Derived from L,Teff",20.8,2013A&A...555A...1B,40,2013A&A...555A...1B,1250,2013A&A...555A...1B,8.90E-10,2013A&A...555A...1B,FALSE,None,TRUE,,,,,,TRUE
HD 5980,HD 5980,https://simbad.u-strasbg.fr/simbad/sim-id?Ident=HD+5980,WN Binary,Gaia DR3 4690516883290136832,14.86077928,-72.16498576,2016,SMC,NGC 346,WN6h + WNE + O,2003MNRAS.338..360F,WN,6,none,10.63,1977A&AS...30..261A,11.63,1977A&AS...30..261A,11.83,1977A&AS...30..261A,,None,0.08,2016A&A...591A..22S,43000,2016A&A...591A..22S,3.5,2016A&A...591A..22S,6.35,2016A&A...591A..22S,24,2016A&A...591A..22S,61,2016A&A...591A..22S,,None,2200,2016A&A...591A..22S,3.20E-05,2016A&A...591A..22S,TRUE,2014AJ....148...62K,FALSE,,,,,,TRUE
NGC346 ELS 13,Cl* NGC 346 ELS 013,https://simbad.u-strasbg.fr/simbad/sim-id?Ident=Cl*+NGC+346+ELS+013,O Binary,Gaia DR3 4690516986349956480,14.87661866,-72.15268267,2016,SMC,NGC 346,O9 V + B1 V,2012A&A...537A..29R,O,9,V,13.36,1989AJ.....98.1305M,14.28,1989AJ.....98.1305M,14.46,1989AJ.....98.1305M,-0.27,2006A&A...457..637M,0.09,Derived from (B-V)0,34500,2012A&A...537A..29R,3.9,2012A&A...537A..29R,,None,,None,,None,320,2012A&A...537A..29R,,None,,None,TRUE,2012A&A...537A..29R,FALSE,,,,,,FALSE
NGC346 ELS 46,Cl* NGC 346 ELS 046,https://simbad.u-strasbg.fr/simbad/sim-id?Ident=Cl*+NGC+346+ELS+046,Mid O Dwarf,Gaia DR3 4690504582501410432,14.88279231,-72.22645723,2016,SMC,NGC 346,O7 Vn,2006A&A...456..623E,O,7,V,,None,15.16,2006A&A...456..623E,15.44,2006A&A...456..623E,-0.27,2006A&A...457..637M,-0.01,Derived from (B-V)0,39000,2013A&A...555A...1B,4.22,2013A&A...555A...1B,4.81,2013A&A...555A...1B,5.6,"Derived from L,Teff",23.7,2013A&A...555A...1B,300,2013A&A...555A...1B,1950,2013A&A...555A...1B,6.00E-10,2013A&A...555A...1B,FALSE,None,FALSE,,,,,,FALSE
AV 232,AzV 232,https://simbad.u-strasbg.fr/simbad/sim-id?Ident=AzV+232,Mid O Supergiant,Gaia DR3 4690516677131714432,14.88324454,-72.1794802,2016,SMC,NGC 346,O7 Iaf+,1977ApJ...215...53W,O,7,I,11.15,1977A&AS...30..261A,12.15,1977A&AS...30..261A,12.35,1977A&AS...30..261A,-0.27,2006A&A...457..637M,0.05,2021A&A...647A.134B,33500,2021A&A...647A.134B,3.16,2021A&A...647A.134B,5.89,2021A&A...647A.134B,26.2,"Derived from L,Teff",35.3,2021A&A...647A.134B,75,2021A&A...647A.134B,1350,2021A&A...647A.134B,4.50E-06,2021A&A...647A.134B,FALSE,None,FALSE,,,,,,TRUE
AV 234,AzV 234,https://simbad.u-strasbg.fr/simbad/sim-id?Ident=AzV+234,Early B Supergiant,Gaia DR3 4690518223319786624,14.93128818,-72.07190587,2016,SMC,NGC 346,B3 Iab,2019A&A...626A..50D,B,3,I,12.02,2002ApJS..141...81M,12.84,2002ApJS..141...81M,12.94,2002ApJS..141...81M,-0.13,1970A&A.....4..234F,0.03,Derived from (B-V)0,15700,2019A&A...626A..50D,2.15,2019A&A...626A..50D,4.91,2019A&A...626A..50D,38.6,"Derived from L,Teff",,None,43,2019A&A...626A..50D,,None,,None,FALSE,None,FALSE,,,,,,FALSE
AV 235,SK 82,https://simbad.u-strasbg.fr/simbad/sim-id?Ident=SK+82,Early B Supergiant,Gaia DR3 4685972636146149504,14.94055247,-72.74901039,2016,SMC,None,B0 Iaw,1983ApJ...265..716W,B,0,I,11.07,1975A&AS...22..285A,12.02,1975A&AS...22..285A,12.2,1975A&AS...22..285A,-0.24,1970A&A.....4..234F,0.07,2004ApJ...610.1021E,27500,2004ApJ...610.1021E,2.9,2004ApJ...610.1021E,5.72,2004ApJ...610.1021E,31.9,2004ApJ...610.1021E,,None,80,2004ApJ...610.1021E,1400,2004ApJ...610.1021E,4.00E-06,2004ApJ...610.1021E,FALSE,None,FALSE,,,,,,FALSE
NGC346 ELS 35,Cl* NGC 346 ELS 035,https://simbad.u-strasbg.fr/simbad/sim-id?Ident=Cl*+NGC+346+ELS+035,Early B Dwarf,Gaia DR3 4690518154600349184,14.94437378,-72.09236828,2016,SMC,NGC 346,B1 V,2006A&A...456..623E,B,1,V,13.83,2002ApJS..141...81M,14.7,2002ApJS..141...81M,14.89,2002ApJS..141...81M,-0.26,1970A&A.....4..234F,0.07,Derived from (B-V)0,,None,,None,,None,,None,,None,145,2008A&A...479..541H,,None,,None,TRUE,2013AcA....63..323P,FALSE,,,,,,FALSE
NGC346 ELS 25,Cl* NGC 346 ELS 025,https://simbad.u-strasbg.fr/simbad/sim-id?Ident=Cl*+NGC+346+ELS+025,Late O Dwarf,Gaia DR3 4690504994818102016,14.97066058,-72.1803218,2016,SMC,NGC 346,O9 V,2006A&A...456..623E,O,9,V,13.67,1989AJ.....98.1305M,14.67,1989AJ.....98.1305M,14.91,1989AJ.....98.1305M,-0.27,2006A&A...457..637M,0.03,Derived from (B-V)0,36200,2006A&A...456.1131M,4.07,2006A&A...456.1131M,4.9,2006A&A...456.1131M,7.2,2006A&A...456.1131M,22.6,2006A&A...456.1131M,138,2006A&A...456.1131M,2816,2006A&A...456.1131M,1.25E-07,2006A&A...456.1131M,FALSE,None,FALSE,,,,,,FALSE
NGC346 ELS 31,Cl* NGC 346 ELS 031,https://simbad.u-strasbg.fr/simbad/sim-id?Ident=Cl*+NGC+346+ELS+031,Mid O Dwarf,Gaia DR3 4690518532557434496,14.97526662,-72.07539969,2016,SMC,NGC 346,O8 Vz,2006A&A...456..623E,O,8,V,13.65,2002ApJS..141...81M,14.74,2002ApJS..141...81M,14.96,2002ApJS..141...81M,-0.27,2006A&A...457..637M,0.05,Derived from (B-V)0,37200,2013A&A...555A...1B,4,2013A&A...555A...1B,4.95,2013A&A...555A...1B,7.2,"Derived from L,Teff",23.2,2013A&A...555A...1B,25,2013A&A...555A...1B,1540,2013A&A...555A...1B,6.00E-10,2013A&A...555A...1B,FALSE,None,FALSE,,,,,,FALSE
AV 238,AzV 238,https://simbad.u-strasbg.fr/simbad/sim-id?Ident=AzV+238,Late O Giant,Gaia DR3 4690503792227414400,14.98129063,-72.22716704,2016,SMC,None,O9.5 III,2000PASP..112.1243W,O,9.5,III,12.49,2002ApJS..141...81M,13.47,2002ApJS..141...81M,13.64,2002ApJS..141...81M,-0.26,2006A&A...457..637M,0.09,Derived from (B-V)0,,None,,None,,None,,None,,None,71,2009ApJ...700..844P,1200,1996A&A...305..171P,,None,FALSE,None,FALSE,,,,,,FALSE
AV 243,AzV 243,https://simbad.u-strasbg.fr/simbad/sim-id?Ident=AzV+243,Mid O Dwarf,Gaia DR3 4685971639713881344,15.0280333,-72.78865131,2016,SMC,None,O6 V,1995PASP..107..104W,O,6,V,12.63,2002ApJS..141...81M,13.67,2002ApJS..141...81M,13.84,2002ApJS..141...81M,-0.28,2006A&A...457..637M,0.11,Derived from (B-V)0,39600,2013A&A...555A...1B,3.9,2013A&A...555A...1B,5.59,2013A&A...555A...1B,13.3,"Derived from L,Teff",41,2013A&A...555A...1B,60,2013A&A...555A...1B,2000,2013A&A...555A...1B,7.90E-08,2013A&A...555A...1B,FALSE,None,FALSE,,,,,,TRUE
AV 242,AzV 242,https://simbad.u-strasbg.fr/simbad/sim-id?Ident=AzV+242,Early B Supergiant,Gaia DR3 4690503826587160832,15.02869271,-72.23260899,2016,SMC,None,B0.7 Iaw,1983ApJ...265..716W,B,0.7,I,11.03,1977A&AS...30..261A,11.95,1977A&AS...30..261A,12.06,1977A&AS...30..261A,-0.19,1970A&A.....4..234F,0.08,Derived from (B-V)0,25000,2005A&A...434..677T,2.85,2005A&A...434..677T,5.67,2005A&A...434..677T,36.6,2005A&A...434..677T,39.5,2005A&A...434..677T,83,2009ApJ...700..844P,950,2004ApJ...607..451E,8.40E-07,2005A&A...434..677T,FALSE,None,FALSE,,,,,,TRUE
AV 251,AzV 251,https://simbad.u-strasbg.fr/simbad/sim-id?Ident=AzV+251,Mid O Dwarf,Gaia DR3 4685990709381204864,15.09231886,-72.51354236,2016,SMC,None,O7.5 V,2016ApJ...817..113L,O,7.5,V,13.32,2002ApJS..141...81M,14.34,2002ApJS..141...81M,14.52,2002ApJS..141...81M,-0.27,2006A&A...457..637M,0.09,Derived from (B-V)0,33100,2018ApJ...868...57C,,None,4.89,2018ApJ...868...57C,8.5,"Derived from L,Teff",,None,,None,,None,,None,FALSE,None,FALSE,,,,,,FALSE
AV 258,AzV 258,https://simbad.u-strasbg.fr/simbad/sim-id?Ident=AzV+258,Late O Giant,Gaia DR3 4687491886293188608,15.18551069,-72.49732082,2016,SMC,None,O9 III,1997AJ....114.1951S,O,9,III,12.68,2002ApJS..141...81M,13.68,2002ApJS..141...81M,13.69,2002ApJS..141...81M,-0.27,2006A&A...457..637M,0.27,Derived from (B-V)0,,None,,None,,None,,None,,None,,None,,None,,None,FALSE,None,TRUE,,,,,,TRUE
AV 261,AzV 261,https://simbad.u-strasbg.fr/simbad/sim-id?Ident=AzV+261,Early B Supergiant,Gaia DR3 4687491164738701056,15.24467581,-72.51395998,2016,SMC,None,B2 Ibe,2004MNRAS.353..601E,B,2,I,12.9,2002ApJS..141...81M,13.81,2002ApJS..141...81M,13.88,2002ApJS..141...81M,-0.16,1970A&A.....4..234F,0.09,Derived from (B-V)0,,None,,None,,None,,None,,None,87,2009ApJ...700..844P,,None,,None,FALSE,None,FALSE,,,,,,FALSE
AV 264,AzV 264,https://simbad.u-strasbg.fr/simbad/sim-id?Ident=AzV+264,Early B Supergiant,Gaia DR3 4690520387983090432,15.28235949,-71.99966784,2016,SMC,None,B1 Ia,1997A&A...317..871L,B,1,I,11.33,1977A&AS...30..261A,12.24,1977A&AS...30..261A,12.37,1977A&AS...30..261A,-0.19,1970A&A.....4..234F,0.06,Derived from (B-V)0,22500,2005A&A...434..677T,2.55,2005A&A...434..677T,5.44,2005A&A...434..677T,34.8,2005A&A...434..677T,29,2005A&A...434..677T,85,2005A&A...434..677T,600,2004ApJ...607..451E,2.90E-07,2005A&A...434..677T,FALSE,None,FALSE,,,,,,FALSE
AV 266,AzV 266,https://simbad.u-strasbg.fr/simbad/sim-id?Ident=AzV+266,Early B Supergiant,Gaia DR3 4687492298609966464,15.28914495,-72.45793454,2016,SMC,None,B1 I,2016ApJ...817..113L,B,1,I,11.47,2002ApJS..141...81M,12.43,2002ApJS..141...81M,12.55,2002ApJS..141...81M,-0.19,1970A&A.....4..234F,0.07,Derived from (B-V)0,18200,2018ApJ...868...57C,,None,5.09,2018ApJ...868...57C,35.3,"Derived from L,Teff",,None,61,2009ApJ...700..844P,,None,,None,FALSE,None,FALSE,,,,,,FALSE
AV 267,AzV 267,https://simbad.u-strasbg.fr/simbad/sim-id?Ident=AzV+267,Late O Dwarf,Gaia DR3 4690507022042458624,15.31539445,-72.10983038,2016,SMC,None,O8 V,2016ApJ...817..113L,O,8,V,13.53,2002ApJS..141...81M,14.58,2002ApJS..141...81M,14.84,2002ApJS..141...81M,-0.27,2006A&A...457..637M,0.01,Derived from (B-V)0,35700,2013A&A...555A...1B,4.04,2013A&A...555A...1B,4.9,2013A&A...555A...1B,7.4,"Derived from L,Teff",21.5,2013A&A...555A...1B,220,2013A&A...555A...1B,1250,2013A&A...555A...1B,2.50E-09,2013A&A...555A...1B,FALSE,None,FALSE,,,,,,TRUE
AV 287,AzV 287,https://simbad.u-strasbg.fr/simbad/sim-id?Ident=AzV+287,Late O Supergiant,Gaia DR3 4690502452197478528,15.48844027,-72.21173342,2016,SMC,None,O9.5 Iw,1983ApJ...265..716W,O,9.5,I,11.93,1975A&AS...22..285A,12.86,1975A&AS...22..285A,12.86,1975A&AS...22..285A,-0.26,2006A&A...457..637M,0.26,Derived from (B-V)0,,None,,None,,None,,None,,None,,None,,None,,None,FALSE,None,TRUE,,,,,,TRUE
AV 296,AzV 296,https://simbad.u-strasbg.fr/simbad/sim-id?Ident=AzV+296,Mid O Dwarf,Gaia DR3 4690501661923520768,15.53604482,-72.2222307,2016,SMC,None,O7.5 V((f)),2004ApJ...608.1001M,O,7.5,V,13.05,2002ApJS..141...81M,14.07,2002ApJS..141...81M,14.26,2002ApJS..141...81M,-0.28,2006A&A...457..637M,0.09,Derived from (B-V)0,35000,2004ApJ...608.1001M,3.5,2004ApJ...608.1001M,5.3,2004ApJ...608.1001M,11.9,2004ApJ...608.1001M,16,2004ApJ...608.1001M,,None,2000,2004ApJ...608.1001M,5.00E-07,2004ApJ...608.1001M,FALSE,None,FALSE,,,,,,FALSE
AV 304,AzV 304,https://simbad.u-strasbg.fr/simbad/sim-id?Ident=AzV+304,Early B Dwarf,Gaia DR3 4687474122305879424,15.58951959,-72.65405732,2016,SMC,None,B0.5 V,1982PASP...94...31C,B,0.5,V,13.74,2002ApJS..141...81M,14.66,2002ApJS..141...81M,14.77,2002ApJS..141...81M,-0.28,1970A&A.....4..234F,0.17,Derived from (B-V)0,27500,2005A&A...436..687H,3.9,2005A&A...436..687H,,None,,None,,None,11,2003A&A...400...21R,,None,,None,FALSE,None,FALSE,,,,,,TRUE
AV 307,AzV 307,https://simbad.u-strasbg.fr/simbad/sim-id?Ident=AzV+307,Late O Giant,Gaia DR3 4687473911837161344,15.63409931,-72.66183039,2016,SMC,None,O9 III,1987AJ.....93.1070G,O,9,III,12.82,2002ApJS..141...81M,13.8,2002ApJS..141...81M,13.96,2002ApJS..141...81M,-0.26,2006A&A...457..637M,0.1,2021A&A...647A.134B,30000,2021A&A...647A.134B,3.5,2021A&A...647A.134B,5.15,2021A&A...647A.134B,13.9,"Derived from L,Teff",22.5,2021A&A...647A.134B,60,2021A&A...647A.134B,1300,2021A&A...647A.134B,4.80E-09,2021A&A...647A.134B,FALSE,None,FALSE,,,,,,FALSE
