target_name_std,target_name_simbad,target_id,target_classification,simbad_link,targ_ra,targ_dec,coordinate_epoch,source_catalog,host_galaxy_name,host_cluster_name,d_gaia_dr2,d_gaia_dr2_err,spectral_type,spectral_type_ref,temp_class,temp_class_ref,lum_class,star_teff,star_teff_ref,star_luminosity,star_luminosity_ref,star_mass,star_mass_ref,surface_gravity,surface_gravity_ref,rotation_period,rotation_period_ref,rotation_velocity,rotation_velocity_ref,terminal_velocity,terminal_velocity_ref,radius,radius_ref,rate_accretion,rate_accretion_ref,extinction_ebmv,extinction_ebmv_ref,age,age_ref,metallicity,metallicity_ref,fuv_mag,nuv_mag,u_mag,u_mag_ref,b_mag,b_mag_ref,v_mag,v_mag_ref,i_mag,i_mag_ref,gaia_dr2_id,gaia_parallax,gaia_parallax_err,known_binary,known_binary_ref,is_variable,is_monitor_targ,extended
Sz129,HBC 609,?,T Tauri star,,239.8185705,-41.95296071,2015.5,2017A&A...600A..20A ,MW,Lupus IV,161.6814875,1.320115621,K7,2017A&A...600A..20A,,,,4060,2017A&A...600A..20A ,-0.43,2017A&A...600A..20A ,0.79,2017A&A...600A..20A,,,,,,,,,,,-8.4,2017A&A...600A..20A,0.29,2017A&A...600A..20A,,,,,,,12.28,none,,,12,none,,,Gaia DR2 5995168724780802944,6.185,0.0505,none,none,TRUE,FALSE,FALSE
Sz104,MJS2008-51,?,T Tauri star,,242.128343,-39.09700446,2015.5,2017A&A...600A..20A ,MW,Lupus III,165.461555,2.348991747,M5,2014A&A...561A...2A,,,,3125,2017A&A...600A..20A ,-0.99,2017A&A...600A..20A ,0.16,2014A&A...561A...2A,,,,,,,,,,,-9.75,2014A&A...561A...2A,0,2014A&A...561A...2A,,,,,,,15.93,none,,,15.25,none,,,Gaia DR2 5997082149897384320,6.0437,0.0858,none,none,TRUE,FALSE,FALSE
Sz103,HBC 618,?,T Tauri star,,242.1260689,-39.10320476,2015.5,2017A&A...600A..20A ,MW,Lupus III,159.4998086,2.699204047,M4,2014A&A...561A...2A,,,,3270,2017A&A...600A..20A ,-0.73,2017A&A...600A..20A ,0.22,2014A&A...561A...2A,,,,,,,,,,,-8.99,2014A&A...561A...2A,0.226,2014A&A...561A...2A,,,,,,,11.69,none,,,11.14,none,,,Gaia DR2 5997082046818384768,6.2696,0.1061,none,none,TRUE,FALSE,FALSE
Sz115,MJS2008-82,?,T Tauri star,,242.2758284,-39.1478463,2015.5,2017A&A...600A..20A ,MW,Lupus III,157.9055409,2.119403587,M4.5,2014A&A...561A...2A,,,,3197,2017A&A...600A..20A ,-0.76,2017A&A...600A..20A ,0.19,2014A&A...561A...2A,,,,,,,,,,,-9.24,2014A&A...561A...2A,0.161,2014A&A...561A...2A,,,,,,,16.09,none,,,15.48,none,,,Gaia DR2 5997034252420531712,6.3329,0.085,none,none,TRUE,FALSE,FALSE
V505-ORI,SO518,?,T Tauri star,,84.61357198,-2.752699891,2015.5,,MW,Sigma Ori ,397.3931013,6.095761289,K6.0,2016ApJ...829...38M,,,,,,,,0.754,2016ApJ...829...38M,,,,,,,,,,,-8.54,2016ApJ...829...38M,0,2016ApJ...829...38M,,,,,,,14.1,none,,,14.16,none,,,Gaia DR2 3216107490187638784,2.5164,0.0386,none,none,TRUE,FALSE,FALSE
RXJ0438.6+1546,HD285957,?,T Tauri star,,69.66285984,15.77035123,2015.5,,MW,Taurus,139.1710969,1.082704417,K2,2017A&A...605A..86M,,,,,,,,1.4,2017A&A...605A..86M,,,,,,,,,,,-9.52,2017A&A...605A..86M,0.097,2017A&A...605A..86M,,,,,,,none,none,,,10.86,none,,,Gaia DR2 3309970392669539200,7.1854,0.0559,none,none,TRUE,FALSE,
RECX-6,V-EL-CHA,?,T Tauri star,,130.6609452,-78.91175504,2015.5,,MW,eta Cha,98.11905766,0.403385943,M3,2018A&A...609A..70R,,,,,,,,0.3,2018A&A...609A..70R,,,,,,,,,,,-10.6,2018A&A...609A..70R,0,2018A&A...609A..70R,,,,,,,none,none,,,14.1,none,,,Gaia DR2 5209038423669475712,10.1917,0.0419,none,none,TRUE,FALSE,
ECHA J0843.3-7915,ET Cha,?,T Tauri star,,130.8268032,-79.08827231,2015.5,,MW,eta Cha,91.67247259,2.624519929,M4.0,2018A&A...609A..70R,,,,,,,,0.2,2018A&A...609A..70R,,,,,,,,,,,-9.12,2018A&A...609A..70R,0,2018A&A...609A..70R,,,,,,,14.26,none,,,13.97,none,,,Gaia DR2 5209024366240981632,10.9084,0.3123,none,none,TRUE,FALSE,
RECX 1,EG Cha,?,T Tauri star,,129.233561,-78.94589378,2015.5,,MW,eta Cha,100.1642694,1.266149565,K6.0,2018A&A...609A..70R,,,,,,,,0.75,2018A&A...609A..70R,,,,,,,,,,,-9.12,2018A&A...609A..70R,0,2018A&A...609A..70R,,,,,,,10.75,none,,,10.457,none,,,Gaia DR2 5209082129256747008,9.9836,0.1262,none,none,TRUE,FALSE,
RECX 11,EP Cha,?,T Tauri star,,131.7561701,-78.99276805,2015.5,,MW,eta Cha,98.58432904,0.250746844,K6.0,2018A&A...609A..70R,,,,,,,,0.83,2018A&A...609A..70R,,,,,,,,,,,-9.7,2018A&A...609A..70R,0,2018A&A...609A..70R,,,,,,,11.75,none,,,11.1,none,,,Gaia DR2 5209023133585929984,10.1436,0.0258,none,none,TRUE,FALSE,
MY Lup                 ,MJS2008-150,?,T Tauri star,,240.1854336,-41.92535952,2015.5,,MW,Lupus IV ,156.5851902,1.164648785,K0  ,2017A&A...600A..20A,,,,,,,,1.06,2017A&A...600A..20A,,,,,,,,,,,-9.67,2017A&A...600A..20A,0.419,2017A&A...600A..20A,,,,,,,13.42,none,,,12.17,none,,,Gaia DR2 5995177933191206016,6.3863,0.0475,none,none,TRUE,FALSE,
RY Lup                 ,HBC 252,?,T Tauri star,,239.8682151,-40.36433168,2015.5,,MW,Lupus IV ,159.098864,1.779465132,K2  ,2017A&A...600A..20A,,,,,,,,1.4,2017A&A...600A..20A,,,,,,,,,,,-8.19,2017A&A...600A..20A,0.129,2017A&A...600A..20A,,,,,,,9.81,none,,,9.9,none,,,Gaia DR2 5996151172781298304,6.2854,0.0703,none,none,TRUE,FALSE,
SSTc2dJ160830.7-382827 ,MJS2008-50,?,T Tauri star,,242.1278598,-38.47423282,2015.5,,MW,Lupus III,156.115838,0.960262901,K2  ,2017A&A...600A..20A,,,,,,,,1.4,2017A&A...600A..20A,,,,,,,,,,,-8.96,2017A&A...600A..20A,0.065,2017A&A...600A..20A,,,,,,,11.44,none,,,11.15,none,,,Gaia DR2 5997490206145065088,6.4055,0.0394,none,none,TRUE,FALSE,
Sz68                   ,HT Lup,?,T Tauri star,,236.3035416,-34.29193939,2015.5,,MW,Lupus I  ,154.1948715,1.438451533,K2  ,2017A&A...600A..20A,,,,,,,,1.4,2017A&A...600A..20A,,,,,,,,,,,-8.24,2017A&A...600A..20A,0.323,2017A&A...600A..20A,,,,,,,12.47,none,,,10.224,none,,,Gaia DR2 6014696841553696768,6.4853,0.0605,none,none,TRUE,FALSE,
HD 104237A,DX Cha,?,T Tauri star,,180.0203688,-78.19295987,2015.5,,MW,eps Cha,108.3893345,0.683748024,A7.75,2013A&A...549A..15F,,,,,,,,2.53,2013A&A...549A..15F,,,,,,,,,,,-6.38,2013A&A...549A..15F,0.294,2013A&A...549A..15F,,,,,,,5.67,none,,,6.62,none,,,Gaia DR2 5836666564476158336,9.226,0.0582,none,none,TRUE,FALSE,
VW Cha ,Sz 24,?,T Tauri star,,167.0058226,-77.70793869,2015.5,,MW,Cha I,none,none,K7 ,2017A&A...604A.127M,,,,,,,,0.67,2017A&A...604A.127M,,,,,,,,,,,-7.6,2017A&A...604A.127M,0.613,2017A&A...604A.127M,,,,,,,13.91,none,,,12.8,none,,,Gaia DR2 5201126475432043776,none,none,none,none,TRUE,FALSE,
CS Cha ,Sz 9,?,T Tauri star,,165.6032232,-77.55988594,2015.5,,MW,Cha I,176.2642554,1.168197698,K2 ,2017A&A...604A.127M,,,,,,,,1.4,2017A&A...604A.127M,,,,,,,,,,,-8.29,2017A&A...604A.127M,0.258,2017A&A...604A.127M,,,,,,,11.86,none,,,11.69,none,,,Gaia DR2 5201179389431267584,5.6733,0.0376,none,none,TRUE,FALSE,
CV Cha,T52,?,T Tauri star,,168.1150336,-76.7395319,2015.5,,MW,Cha I,193.2404491,0.982091212,K0 ,2017A&A...604A.127M,,,,,,,,1.62,2017A&A...604A.127M,,,,,,,,,,,-7.48,2017A&A...604A.127M,0.323,2017A&A...604A.127M,,,,,,,10.74,none,,,10.98,none,,,Gaia DR2 5201295319189803392,5.1749,0.0263,none,none,TRUE,FALSE,
LkCa 15,V1079 Tau,?,T Tauri star,,69.82417909,22.35086618,2015.5,,MW,Taurus,158.8638061,1.213933797,K5,2013ApJ...767..112I,,,,,,,,1.1,2013ApJ...767..112I,,,,,,,,,,,-8.51,2013ApJ...767..112I,0.355,2013ApJ...767..112I,,,,,,,none,none,,,12.03,none,,,Gaia DR2 144936836795636864 ,6.2947,0.0481,none,none,TRUE,FALSE,
LkCa 19,HD282630,?,T Tauri star,,73.90406233,30.29853511,2015.5,,MW,Taurus,159.6678908,2.003815458,K0,2013ApJ...767..112I,,,,,,,,1.3,2013ApJ...767..112I,,,,,,,,,,,,2013ApJ...767..112I,0,2013ApJ...767..112I,,,,,,,none,none,,,11.12,none,,,Gaia DR2 156900622818205312 ,6.263,0.0786,none,none,TRUE,FALSE,
LkCa 4,J04162810+2807358,?,T Tauri star,,64.11714603,28.1264807,2015.5,,MW,Taurus,129.8397777,0.595100386,K7,2013ApJ...767..112I,,,,,,,,0.77,2013ApJ...767..112I,,,,,,,,,,,,2013ApJ...767..112I,0.223,2013ApJ...767..112I,,,,,,,none,none,,,12.78,none,,,Gaia DR2 164666022471759232 ,7.7018,0.0353,none,none,TRUE,FALSE,
AA Tau,HBC 63,?,T Tauri star,,68.7309426,24.48130916,2015.5,,MW,Taurus,137.1967951,2.437573395,K7,2013ApJ...767..112I,,,,,,,,0.8,2013ApJ...767..112I,,,,,,,,,,,-7.82,2013ApJ...767..112I,0.613,2013ApJ...767..112I,,,,,,,13.14,none,,,12.2,none,,,Gaia DR2 147818450613367424 ,7.2888,0.1295,none,none,TRUE,FALSE,
DE Tau,J04215563+2755060,?,T Tauri star,,65.48186336,27.9182673,2015.5,,MW,Taurus,127.3690646,1.065843125,M2,2013ApJ...767..112I,,,,,,,,0.4,2013ApJ...767..112I,,,,,,,,,,,-7.55,2013ApJ...767..112I,0.29,2013ApJ...767..112I,,,,,,,15.18,none,,,13.8,none,,,Gaia DR2 152511475478780416 ,7.8512,0.0657,none,none,TRUE,FALSE,
DK Tau A,DK Tau A,?,T Tauri star,,67.68436729,26.02344493,2015.5,,MW,Taurus,128.5181853,0.977801898,K7,2013ApJ...767..112I,,,,,,,,0.7,2013ApJ...767..112I,,,,,,,,,,,-7.47,2013ApJ...767..112I,0.419,2013ApJ...767..112I,,,,,,,none,none,,,none,none,,,Gaia DR2 151106780654065792 ,7.781,0.0592,none,none,TRUE,FALSE,
DM Tau,HBC 62,?,T Tauri star,,68.45310994,18.1693583,2015.5,,MW,Taurus,145.1442008,1.080728841,M1,2013ApJ...767..112I,,,,,,,,0.5,2013ApJ...767..112I,,,,,,,,,,,-8.54,2013ApJ...767..112I,0.226,2013ApJ...767..112I,,,,,,,14.3,none,,,14,none,,,Gaia DR2 3314282402395528192,6.8897,0.0513,none,none,TRUE,FALSE,
DN Tau,HBC 65,?,T Tauri star,,68.86410202,24.24960745,2015.5,,MW,Taurus,128.2199228,0.887778825,M0,2013ApJ...767..112I,,,,,,,,0.6,2013ApJ...767..112I,,,,,,,,,,,-8,2013ApJ...767..112I,0.29,2013ApJ...767..112I,,,,,,,13.56,none,,,11.5,none,,,Gaia DR2 147606657186323712 ,7.7991,0.054,none,none,TRUE,FALSE,
DR Tau,HBC 74,?,T Tauri star,,71.77591994,16.97849956,2015.5,,MW,Taurus,195.6564273,2.472980866,K5,2013ApJ...767..112I,,,,,,,,0.9,2013ApJ...767..112I,,,,,,,,,,,-7.28,2013ApJ...767..112I,0.452,2013ApJ...767..112I,,,,,,,12.03,none,,,10.5,none,,,Gaia DR2 3406081865148861440,5.111,0.0646,none,none,TRUE,FALSE,
RU Lup,,?,T Tauri star,,239.1763,-37.82096,2000,,MW,Lupus II,159.57,1.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gaia DR2 6010114558131190000,6.27,0.067,,,TRUE,TRUE,FALSE
BP Tau,,?,T Tauri star,http://simbad.u-strasbg.fr/simbad/sim-id?Ident=V%2A%20BP%20Tau,64.81598,29.10748,2000,?,MW,Taurus-Auriga,129.08,0.96,K7,2008MNRAS.386.1234D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gaia DR2 164832740220756000,7.75,0.058,,,TRUE,TRUE,FALSE
GM Aur,,?,T Tauri star,,73.79576,30.36649,2000,,MW,Taurus-Auriga,159.64,2.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gaia DR2 156907907082740000,6.26,0.083,,,TRUE,TRUE,FALSE
TW Hya,,?,T Tauri star,,165.46627,-34.70473,2000,,MW,TWA,60.09,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gaia DR2 5401795662560500000,16.64,0.042,,,TRUE,TRUE,FALSE
